# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	OmimIDs	PubMedIDs
d044343	ABDOMINAL OBESITY-METABOLIC SYNDROME 1	OMIM:605552	MTTP	4547	Metabolic disease|Nutrition disorder	Metabolic disease|Nutrition disorder	marker/mechanism	605552	
d044343	Obesity	MESH:D009765	PTGS2	5743	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		21156398
d044343	Obesity	MESH:D009765	PTPN1	5770	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		10744717|20075852
d044343	Obesity	MESH:D009765	PYY	5697	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		16368708
d044343	Obesity	MESH:D009765	RAB21	23011	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		29273807
d044343	Obesity	MESH:D009765	RAI1	10743	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		15459175|19116176
d044343	Obesity	MESH:D009765	RAPGEF3	10411	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		29273807
d044343	Obesity	MESH:D009765	RMST	196475	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		23563609
d044343	Obesity	MESH:D009765	SAT1	6303	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		20882379
d044343	Obesity	MESH:D009765	SCD1	20249	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		20882379
d044343	Obesity	MESH:D009765	SDC3	9672	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism	601665	
d044343	Obesity	MESH:D009765	SERPINE1	5054	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		23819014
d044343	Obesity	MESH:D009765	SH2B1	25970	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		19079261
d044343	Obesity	MESH:D009765	SIRT1	23411	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	therapeutic		24184811
d044343	Obesity	MESH:D009765	SIRT3	23410	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		23956348
d044343	Obesity	MESH:D009765	SLC16A7	9194	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		20882379
d044343	Obesity	MESH:D009765	SLC22A1	6580	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		20956498
d044343	Obesity	MESH:D009765	SLC22A2	6582	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		27401566
d044343	Obesity	MESH:D009765	SLC22A3	6581	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		27401566
d044343	Obesity	MESH:D009765	SOD1	6647	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		24042701
d044343	Obesity	MESH:D009765	SOD2	6648	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		16317704|23956348|30738174
d044343	Obesity	MESH:D009765	SREBF1	6720	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		10900012
d044343	Obesity	MESH:D009765	STS	412	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	therapeutic		24497646
d044343	Obesity	MESH:D009765	SUCLA2	8803	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		20882379
d044343	Obesity	MESH:D009765	SUCLG2	8801	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		20882379
d044343	Obesity	MESH:D009765	TBC1D1	23216	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		16893906|18325908|18931681
d044343	Obesity	MESH:D009765	TF	7018	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		20882379
d044343	Obesity	MESH:D009765	TFRC	7037	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		17062801|20882379
d044343	Obesity	MESH:D009765	TMEM18	129787	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		19079261
d044343	Obesity	MESH:D009765	TNF	7124	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		11328671|20141834|29035695|9502777
d044343	Obesity	MESH:D009765	TNFRSF1B	7133	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		11782876
d044343	Obesity	MESH:D009765	TRPV1	7442	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		17347480
d044343	Obesity	MESH:D009765	UCP1	7350	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	therapeutic		15592485
d044343	Obesity	MESH:D009765	UCP2	7351	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		11381268
d044343	Obesity	MESH:D009765	UCP3	7352	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism	601665	
d044343	Obesity	MESH:D009765	UQCRC2	7385	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		20882379
d044343	Obesity	MESH:D009765	VLDLR	7436	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		20975297
d044343	Obesity	MESH:D009765	WNT3A	89780	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		28242765
d044343	Obesity	MESH:D009765	ZBTB7B	51043	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		29273807
d044343	Obesity	MESH:D009765	ZFHX3	463	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		29273807
d044343	Obesity	MESH:D009765	ZFR2	23217	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		29273807
d044343	Obesity	MESH:D009765	ZNF169	169841	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		29273807
d044343	Obesity, Abdominal	MESH:D056128	HSD11B1	3290	Nutrition disorder	Nutrition disorder	marker/mechanism		15199296
d044343	Obesity, Hyperphagia, and Developmental Delay	MESH:C563938	NTRK2	4915	Mental disorder|Nutrition disorder|Signs and symptoms	Mental disorder|Nutrition disorder|Signs and symptoms	marker/mechanism	613886	
d044343	Obesity, Morbid	MESH:D009767	ADCY3	109	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		29311637
d044343	Obesity, Morbid	MESH:D009767	BDNF	627	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		21708048
d044343	Obesity, Morbid	MESH:D009767	KCNMA1	3778	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		21708048
d044343	Obesity, Morbid	MESH:D009767	KSR2	283455	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		29273807
d044343	Obesity, Morbid	MESH:D009767	LEP	3952	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism|therapeutic		15070752|9500540
d044343	Obesity, Morbid	MESH:D009767	LEPR	3953	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		9537324
d044343	Obesity, Morbid	MESH:D009767	MC4R	4160	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		29273807|29311635
d044343	Pediatric Obesity	MESH:D063766	APOA1	335	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		25137265
d044343	Pediatric Obesity	MESH:D063766	APOA5	116519	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		25137265
d044343	Pediatric Obesity	MESH:D063766	CETP	1071	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		25137265
d044343	Pediatric Obesity	MESH:D063766	FTO	79068	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism		25137265
d044343	Prader-Willi Syndrome	MESH:D011218	HERC2	8924	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	marker/mechanism	176270	
d044343	Prader-Willi Syndrome	MESH:D011218	IPW	3653	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	marker/mechanism	176270	
d044343	Prader-Willi Syndrome	MESH:D011218	MAGEL2	54551	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	marker/mechanism	176270	24076603
d044343	Prader-Willi Syndrome	MESH:D011218	MKRN3	7681	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	marker/mechanism	176270	
d044343	Prader-Willi Syndrome	MESH:D011218	MKRN3-AS1	10108	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	marker/mechanism	176270	
d044343	Prader-Willi Syndrome	MESH:D011218	NDN	4692	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	marker/mechanism	176270	
d044343	Prader-Willi Syndrome	MESH:D011218	NPAP1	23742	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	marker/mechanism	176270	
d044343	Prader-Willi Syndrome	MESH:D011218	PWAR1	145624	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	marker/mechanism	176270	
d044343	Prader-Willi Syndrome	MESH:D011218	PWRN1	791114	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	marker/mechanism	176270	
d044343	Prader-Willi Syndrome	MESH:D011218	SNORD115-1	338433	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	marker/mechanism	176270	
d044343	Prader-Willi Syndrome	MESH:D011218	SNORD116-1	100033413	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	marker/mechanism	176270	
d044343	Prader-Willi Syndrome	MESH:D011218	SNRPN	6638	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Nutrition disorder	marker/mechanism	176270	
d044343	Proopiomelanocortin Deficiency	MESH:C565726	POMC	5443	Endocrine system disease|Nutrition disorder|Signs and symptoms	Endocrine system disease|Nutrition disorder|Signs and symptoms	marker/mechanism	609734	
d044343	Proprotein Convertase 1 3 Deficiency	MESH:C563423	PCSK1	5122	Endocrine system disease|Nutrition disorder|Signs and symptoms	Endocrine system disease|Nutrition disorder|Signs and symptoms	marker/mechanism	600955	
d044343	RETINAL DYSTROPHY AND OBESITY	OMIM:616188	TUB	7275	Eye disease|Nutrition disorder|Signs and symptoms	Eye disease|Nutrition disorder|Signs and symptoms	marker/mechanism	616188	
d044343	Wilson-Turner X-linked mental retardation syndrome	MESH:C536708	LAS1L	81887	Genetic disease (inborn)|Nervous system disease|Nutrition disorder|Signs and symptoms|Skin disease	Genetic disease (inborn)|Nervous system disease|Nutrition disorder|Signs and symptoms|Skin disease	marker/mechanism	309585	
