# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	OmimIDs	PubMedIDs
d008659	17-Hydroxysteroid Dehydrogenase Deficiency	MESH:C537805	HSD17B3	3293	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Skin disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Skin disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	264300	25526675
d008659	Diabetes Mellitus, Experimental	MESH:D003921	IGF1	3479	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	therapeutic		24632065
d008659	Diabetes Mellitus, Experimental	MESH:D003921	IL1B	3553	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		12123627
d008659	Diabetes Mellitus, Experimental	MESH:D003921	IL6	3569	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		22138235
d008659	Diabetes Mellitus, Experimental	MESH:D003921	INS1	16333	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	therapeutic		2975197|3044883
d008659	Diabetes Mellitus, Experimental	MESH:D003921	INSR	3643	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		22138235|9243097
d008659	Diabetes Mellitus, Experimental	MESH:D003921	IRS1	3667	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		22138235
d008659	Diabetes Mellitus, Experimental	MESH:D003921	IRS2	8660	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		25808216
d008659	Diabetes Mellitus, Experimental	MESH:D003921	KCNJ11	3767	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16123366
d008659	Diabetes Mellitus, Experimental	MESH:D003921	LEP	3952	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		28242381
d008659	Diabetes Mellitus, Experimental	MESH:D003921	LEPR	3953	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		15093691|16427799|19452630|19478208|20567778|22933112|24263156|26939912|27151219
d008659	Diabetes Mellitus, Experimental	MESH:D003921	MAP3K5	4217	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		18342293
d008659	Diabetes Mellitus, Experimental	MESH:D003921	MFGE8	4240	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		21505870
d008659	Diabetes Mellitus, Experimental	MESH:D003921	MMP2	4313	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		21963884
d008659	Diabetes Mellitus, Experimental	MESH:D003921	MMP9	4318	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		21963884|22191573
d008659	Diabetes Mellitus, Experimental	MESH:D003921	MPO	4353	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		20388520
d008659	Diabetes Mellitus, Experimental	MESH:D003921	NCF1	653361	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		14871415|16380483
d008659	Diabetes Mellitus, Experimental	MESH:D003921	ND1	4535	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		14563825
d008659	Diabetes Mellitus, Experimental	MESH:D003921	NEUROD1	4760	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16123366
d008659	Diabetes Mellitus, Experimental	MESH:D003921	NKX6-1	4825	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16123366
d008659	Diabetes Mellitus, Experimental	MESH:D003921	NOS2	4843	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16380483|16959961
d008659	Diabetes Mellitus, Experimental	MESH:D003921	NOS3	4846	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		11696579|14871415|15490108|16959961|18266981|19478208|22191573|22933112
d008659	Diabetes Mellitus, Experimental	MESH:D003921	NQO1	1728	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	therapeutic		23458895
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PAX6	5080	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16123366
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PCK1	5105	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		20363216
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PCSK2	5126	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16123366
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PCX	18563	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16123366
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PDK4	5166	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		14563825
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PDX1	3651	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16123366
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PFKM	5213	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		14563825
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PKLR	5313	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		20363216
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PPARA	5465	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		12967931|14563825|23090186
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PPARG	5468	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		12967931|16123366|21757225
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PPARGC1A	10891	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		14563825
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PRKCA	5578	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		12198386
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PRKCD	5580	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		12198386
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PRKCE	5581	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		12198386
d008659	Diabetes Mellitus, Experimental	MESH:D003921	PTGS2	5743	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		14514642|21414306
d008659	Diabetes Mellitus, Experimental	MESH:D003921	RELA	5970	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		22138235
d008659	Diabetes Mellitus, Experimental	MESH:D003921	REN	5972	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		18829990
d008659	Diabetes Mellitus, Experimental	MESH:D003921	S100A6	6277	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16123366
d008659	Diabetes Mellitus, Experimental	MESH:D003921	S1PR2	9294	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		22406263
d008659	Diabetes Mellitus, Experimental	MESH:D003921	S1PR4	8698	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		22406263
d008659	Diabetes Mellitus, Experimental	MESH:D003921	S1PR5	53637	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		22406263
d008659	Diabetes Mellitus, Experimental	MESH:D003921	SERPINE1	5054	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		21757225
d008659	Diabetes Mellitus, Experimental	MESH:D003921	SIRT1	23411	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		23090186|23792339
d008659	Diabetes Mellitus, Experimental	MESH:D003921	SLC2A2	6514	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16123366
d008659	Diabetes Mellitus, Experimental	MESH:D003921	SLC2A4	6517	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		11947963|14563825|18266981|22138235
d008659	Diabetes Mellitus, Experimental	MESH:D003921	SLC9A1	6548	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		20003708
d008659	Diabetes Mellitus, Experimental	MESH:D003921	SLC9A3	6550	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		20003708
d008659	Diabetes Mellitus, Experimental	MESH:D003921	SNAP25	6616	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16123366
d008659	Diabetes Mellitus, Experimental	MESH:D003921	SOD1	6647	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		23090186
d008659	Diabetes Mellitus, Experimental	MESH:D003921	SOD2	6648	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism|therapeutic		15855331|23090186
d008659	Diabetes Mellitus, Experimental	MESH:D003921	SREBF1	6720	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		10900012|23090186
d008659	Diabetes Mellitus, Experimental	MESH:D003921	STS	412	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	therapeutic		24497646
d008659	Diabetes Mellitus, Experimental	MESH:D003921	TGFB1	7040	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		17177138|23090186
d008659	Diabetes Mellitus, Experimental	MESH:D003921	TIMP1	7076	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		21963884
d008659	Diabetes Mellitus, Experimental	MESH:D003921	TIMP2	7077	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		21963884
d008659	Diabetes Mellitus, Experimental	MESH:D003921	TNF	7124	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		12123627|12193562|19478208|20388520|22138235|24513509
d008659	Diabetes Mellitus, Experimental	MESH:D003921	TNFRSF1A	7132	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	therapeutic		12193562
d008659	Diabetes Mellitus, Experimental	MESH:D003921	TP53	7157	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		23792339
d008659	Diabetes Mellitus, Experimental	MESH:D003921	TRP53	22059	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		21078376
d008659	Diabetes Mellitus, Experimental	MESH:D003921	UCP2	7351	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		14563825|16123366
d008659	Diabetes Mellitus, Experimental	MESH:D003921	VEGFA	7422	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		22191573
d008659	Diabetes Mellitus, Experimental	MESH:D003921	YWHAH	7533	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	therapeutic		18342293
d008659	Diabetes Mellitus, Insulin-Dependent, 10	MESH:C566602	IL2RA	3559	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism	601942	
d008659	Diabetes Mellitus, Insulin-Dependent, 12	MESH:C563326	CTLA4	1493	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism	601388	
d008659	Diabetes Mellitus, Insulin-Dependent, 2	MESH:C565100	INS	3630	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism	125852	
d008659	Diabetes Mellitus, Insulin-Dependent, 20	MESH:C567286	HNF1A	6927	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism	612520	
d008659	Diabetes Mellitus, Insulin-Dependent, 22	MESH:C567284	CCR5	1234	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism	612522	
d008659	Diabetes Mellitus, Insulin-Dependent, 5	MESH:C563958	SUMO4	387082	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism	600320	
d008659	Diabetes Mellitus, Insulin-Resistant, with Acanthosis Nigricans	MESH:C562710	INSR	3643	Endocrine system disease|Metabolic disease|Skin disease	Endocrine system disease|Metabolic disease|Skin disease	marker/mechanism	610549	
d008659	Diabetes Mellitus, Neonatal, with Congenital Hypothyroidism	MESH:C565705	GLIS3	169792	Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease	Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease	marker/mechanism	610199	
d008659	Diabetes Mellitus, Noninsulin-Dependent, 1	MESH:C563359	CAPN10	11132	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism	601283	
d008659	DIABETES MELLITUS, NONINSULIN-DEPENDENT, 5	OMIM:616087	TBC1D4	9882	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism	616087	
d008659	Diabetes Mellitus, Permanent Neonatal	MESH:C563425	ABCC8	6833	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism	606176	
d008659	Diabetes Mellitus, Permanent Neonatal	MESH:C563425	GCK	2645	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism	606176	
d008659	Diabetes Mellitus, Permanent Neonatal	MESH:C563425	INS	3630	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism	606176	
d008659	Diabetes Mellitus, Permanent Neonatal	MESH:C563425	KCNJ11	3767	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism	606176	
d008659	Diabetes Mellitus, Permanent Neonatal	MESH:C563425	PDX1	3651	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism	606176	
d008659	Diabetes Mellitus, Permanent Neonatal, with Cerebellar Agenesis	MESH:C563796	PTF1A	256297	Endocrine system disease|Fetal disease|Metabolic disease|Pathology (process)|Pregnancy complication	Endocrine system disease|Fetal disease|Metabolic disease|Pathology (process)|Pregnancy complication	marker/mechanism	609069	15543146|19650412
d008659	Diabetes Mellitus, Transient Neonatal, 1	MESH:C563322	HYMAI	57061	Endocrine system disease|Infant-newborn disease|Metabolic disease	Endocrine system disease|Infant-newborn disease|Metabolic disease	marker/mechanism	601410	
d008659	Diabetes Mellitus, Transient Neonatal, 1	MESH:C563322	ZFP57	346171	Endocrine system disease|Infant-newborn disease|Metabolic disease	Endocrine system disease|Infant-newborn disease|Metabolic disease	marker/mechanism	601410	
d008659	Diabetes Mellitus, Transient Neonatal, 2	MESH:C563672	ABCC8	6833	Endocrine system disease|Infant-newborn disease|Metabolic disease	Endocrine system disease|Infant-newborn disease|Metabolic disease	marker/mechanism	610374	
d008659	Diabetes Mellitus, Transient Neonatal, 3	MESH:C566432	KCNJ11	3767	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism	610582	
d008659	Diabetes Mellitus, Type 1	MESH:D003922	ABCC8	6833	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		18025464
d008659	Diabetes Mellitus, Type 1	MESH:D003922	AIFM1	9131	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		23499715
d008659	Diabetes Mellitus, Type 1	MESH:D003922	BACH2	60468	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		18978792
d008659	Diabetes Mellitus, Type 1	MESH:D003922	C1QTNF6	114904	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		18978792
d008659	Diabetes Mellitus, Type 1	MESH:D003922	CASP12	100506742	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		23499715
d008659	Diabetes Mellitus, Type 1	MESH:D003922	CAT	847	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	therapeutic		15111504
d008659	Diabetes Mellitus, Type 1	MESH:D003922	CCL20	6364	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	therapeutic		21340626
d008659	Diabetes Mellitus, Type 1	MESH:D003922	CD69	969	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		19430480
d008659	Diabetes Mellitus, Type 1	MESH:D003922	CHRM2	1129	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		18603373
d008659	Diabetes Mellitus, Type 1	MESH:D003922	CLEC16A	23274	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		17632545|18946483
d008659	Diabetes Mellitus, Type 1	MESH:D003922	CP	1356	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		20012460
d008659	Diabetes Mellitus, Type 1	MESH:D003922	CRP	1401	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		20012460
d008659	Diabetes Mellitus, Type 1	MESH:D003922	CTSH	1512	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		18978792
d008659	Diabetes Mellitus, Type 1	MESH:D003922	DDIT3	1649	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		23499715
d008659	Diabetes Mellitus, Type 1	MESH:D003922	FGF21	26291	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	therapeutic		23499715
d008659	Diabetes Mellitus, Type 1	MESH:D003922	GLIS3	169792	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		19430480
d008659	Diabetes Mellitus, Type 1	MESH:D003922	HLA-DQA1	3117	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		26168013
d008659	Diabetes Mellitus, Type 1	MESH:D003922	HLA-DQB1	3119	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		26168013
d008659	Diabetes Mellitus, Type 1	MESH:D003922	HLA-DRB1	3123	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		26168013
d008659	Diabetes Mellitus, Type 1	MESH:D003922	HNF1A	6927	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism	222100	
d008659	Diabetes Mellitus, Type 1	MESH:D003922	HP	3240	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		16506275
d008659	Diabetes Mellitus, Type 1	MESH:D003922	HSD11B2	3291	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		16616286
d008659	Diabetes Mellitus, Type 1	MESH:D003922	IFNG	3458	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		21340626
d008659	Diabetes Mellitus, Type 1	MESH:D003922	IGF1	3479	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	therapeutic		24632065
d008659	Diabetes Mellitus, Type 1	MESH:D003922	IL10	3586	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		19430480
d008659	Diabetes Mellitus, Type 1	MESH:D003922	IL19	29949	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		19430480
d008659	Diabetes Mellitus, Type 1	MESH:D003922	IL20	50604	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		19430480
d008659	Diabetes Mellitus, Type 1	MESH:D003922	IL27	246778	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		19430480
d008659	Diabetes Mellitus, Type 1	MESH:D003922	IL2RA	3559	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		17676041|19119414|19701192|30224649
d008659	Diabetes Mellitus, Type 1	MESH:D003922	IL6	3569	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism	222100	
d008659	Diabetes Mellitus, Type 1	MESH:D003922	INS	3630	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	therapeutic		20620209
d008659	Diabetes Mellitus, Type 1	MESH:D003922	INS2	16334	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		17151334|29420703
d008659	Diabetes Mellitus, Type 1	MESH:D003922	ITPR3	3710	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism	222100	
d008659	Diabetes Mellitus, Type 1	MESH:D003922	KCNJ11	3767	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		18025464
d008659	Diabetes Mellitus, Type 1	MESH:D003922	NOS1	4842	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		21666113
d008659	Diabetes Mellitus, Type 1	MESH:D003922	NOS3	4846	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		21666113
d008659	Diabetes Mellitus, Type 1	MESH:D003922	PAX4	5078	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism	612227	
d008659	Diabetes Mellitus, Type 1	MESH:D003922	PRKCQ	5588	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		18978792
d008659	Diabetes Mellitus, Type 1	MESH:D003922	PTPN22	26191	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism	222100	21190368|30224649
d008659	Diabetes Mellitus, Type 1	MESH:D003922	SH2B3	10019	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		30224649
d008659	Diabetes Mellitus, Type 1	MESH:D003922	SLC11A1	6556	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		16597321
d008659	Diabetes Mellitus, Type 1	MESH:D003922	SLC29A3	55315	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		19336477|20140240
d008659	Diabetes Mellitus, Type 1	MESH:D003922	STAT3	6774	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		25038750
d008659	Diabetes Mellitus, Type 1	MESH:D003922	TNF	7124	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		23640034
d008659	Diabetes Mellitus, Type 1	MESH:D003922	TYK2	7297	Endocrine system disease|Immune system disease|Metabolic disease	Endocrine system disease|Immune system disease|Metabolic disease	marker/mechanism		30224649
d008659	Diabetes Mellitus, Type 2	MESH:D003924	A	50518	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		8146154
d008659	Diabetes Mellitus, Type 2	MESH:D003924	ABCC8	6833	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism	125853	22209866|9568693
d008659	Diabetes Mellitus, Type 2	MESH:D003924	ADAMTS9	56999	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		18372903|23967108
d008659	Diabetes Mellitus, Type 2	MESH:D003924	ADCY5	111	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		20081858|23202124
d008659	Diabetes Mellitus, Type 2	MESH:D003924	ADIPOQ	9370	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		12114044|12354786|15734870
d008659	Diabetes Mellitus, Type 2	MESH:D003924	AKT2	208	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism	125853	
d008659	Diabetes Mellitus, Type 2	MESH:D003924	AP3S2	10239	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		21874001
d008659	Diabetes Mellitus, Type 2	MESH:D003924	ATF3	467	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16123366
d008659	Diabetes Mellitus, Type 2	MESH:D003924	ATP2A2	488	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16123366
d008659	Diabetes Mellitus, Type 2	MESH:D003924	ATP2A3	489	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16123366
d008659	Diabetes Mellitus, Type 2	MESH:D003924	AUTS2	26053	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		30718926
d008659	Diabetes Mellitus, Type 2	MESH:D003924	BCL2	596	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16959961
d008659	Diabetes Mellitus, Type 2	MESH:D003924	BCL2L1	598	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		16959961
d008659	Diabetes Mellitus, Type 2	MESH:D003924	BCL2L11	10018	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		28869590
d008659	Diabetes Mellitus, Type 2	MESH:D003924	BHMT	635	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		23665415
d008659	Diabetes Mellitus, Type 2	MESH:D003924	BRAF	673	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		28869590
d008659	Diabetes Mellitus, Type 2	MESH:D003924	C2CD4A	145741	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		20818381
d008659	Diabetes Mellitus, Type 2	MESH:D003924	C2CD4B	388125	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		20818381
d008659	Diabetes Mellitus, Type 2	MESH:D003924	C3	718	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		20504758
d008659	Diabetes Mellitus, Type 2	MESH:D003924	CAPN10	11132	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		23349674
d008659	Diabetes Mellitus, Type 2	MESH:D003924	CASP3	836	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		15531508
d008659	Diabetes Mellitus, Type 2	MESH:D003924	CASP8	841	Endocrine system disease|Metabolic disease	Endocrine system disease|Metabolic disease	marker/mechanism		15531508
